Dominio;Evento;Datos;Ubicación;Fecha;Velocidad;Latitud;Longitud;
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 11.05 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:12:27";"52";"-38,91166";"-68,1413";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 10.98 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:11:57";"63";"-38,91132";"-68,13609";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 10.94 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:11:26";"62";"-38,91093";"-68,12967";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 10.93 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:10:57";"48";"-38,91061";"-68,12447";""
"AA599MH";"Cambio de curso";"";"Autovía Norte a 11.06 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:10:32";"26";"-38,91122";"-68,12164";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 11.04 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:10:26";"26";"-38,91104";"-68,12124";""
"AA599MH";"Cambio de curso";"";"Autovía Norte a 11.03 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:10:26";"26";"-38,91098";"-68,1212";""
"AA599MH";"Cambio de curso";"";"S/N a 11.00 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:10:21";"26";"-38,91074";"-68,12091";""
"AA599MH";"Cambio de curso";"";"S/N a 11.10 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:10:04";"19";"-38,91139";"-68,12045";""
"AA599MH";"Reporte por tiempo";"";"S/N a 11.10 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:09:56";"24";"-38,91166";"-68,12011";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.70 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:09:27";"57";"-38,9128";"-68,11646";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.08 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:08:56";"66";"-38,91474";"-68,11092";""
"AA599MH";"Reporte por tiempo";"";"S/N a 9.43 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:08:27";"66";"-38,9167";"-68,10502";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.94 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:07:57";"48";"-38,91761";"-68,0995";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.59 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:07:26";"46";"-38,91799";"-68,09499";""
"AA599MH";"Cambio de curso";"";"S/N a 8.43 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:07:11";"41";"-38,91817";"-68,09285";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.32 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:06:57";"47";"-38,91818";"-68,09106";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.20 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:06:26";"61";"-38,91678";"-68,086";""
